trial_id,drug_code,drug_name,therapeutic_area,phase,status,site_country,region,start_date,estimated_completion_date,enrolled_patients,primary_endpoint_met
NCT100000,MRK-1002,Oncavera,Oncology,Phase II,Active,Mexico,North America,2022-01-31,2023-02-24,521,
NCT100001,MRK-1002,Oncavera,Oncology,Phase II,Active,Brazil,Latin America,2019-05-03,2022-08-29,211,
NCT100002,MRK-1001,Cardiozin,Cardiology,Phase III,Recruiting,South Africa,EMEA,2021-06-21,2022-11-09,939,
NCT100003,MRK-1007,Pulmocare,Respiratory,Phase III,Recruiting,Australia,APAC,2020-09-28,2021-10-02,460,False
NCT100004,MRK-1002,Oncavera,Oncology,Phase I,Terminated,Australia,APAC,2025-10-08,2029-04-08,561,True
NCT100005,MRK-1007,Pulmocare,Respiratory,Phase II,Recruiting,Mexico,North America,2022-04-15,2023-01-13,760,
NCT100006,MRK-1004,Glucostat,Endocrinology,Phase IV,Completed,Japan,APAC,2021-08-11,2024-08-23,226,
NCT100007,MRK-1006,Vaxishield,Vaccines,Phase III,Recruiting,France,EMEA,2022-12-26,2026-11-22,449,
NCT100008,MRK-1003,Immunext,Immunology,Phase III,Suspended,UK,EMEA,2024-03-08,2025-11-27,797,
NCT100009,MRK-1006,Vaxishield,Vaccines,Phase IV,Completed,USA,North America,2019-05-12,2020-03-22,666,True
NCT100010,MRK-1006,Vaxishield,Vaccines,Phase II,Completed,South Africa,EMEA,2023-06-09,2024-09-16,959,True
NCT100011,MRK-1005,Neuroplex,Neurology,Phase II,Active,Chile,Latin America,2023-06-24,2026-10-29,761,False
NCT100012,MRK-1002,Oncavera,Oncology,Phase IV,Suspended,USA,North America,2020-09-18,2021-07-25,347,False
NCT100013,MRK-1007,Pulmocare,Respiratory,Phase I,Recruiting,Chile,Latin America,2021-10-26,2025-04-27,1153,False
NCT100014,MRK-1006,Vaxishield,Vaccines,Phase IV,Recruiting,Canada,North America,2023-11-16,2025-11-04,343,
NCT100015,MRK-1003,Immunext,Immunology,Phase II,Active,Mexico,North America,2022-05-07,2024-12-07,1059,True
