drug_code,region,forecast_month,forecast_units,backtest_mape,backtest_rmse
MRK-1001,APAC,2026-06-01,19545,105.97,26574.82
MRK-1001,APAC,2026-07-01,49162,105.97,26574.82
MRK-1001,APAC,2026-08-01,39053,105.97,26574.82
MRK-1001,EMEA,2026-06-01,14569,68.55,30892.06
MRK-1001,EMEA,2026-07-01,58340,68.55,30892.06
MRK-1001,EMEA,2026-08-01,18031,68.55,30892.06
MRK-1001,Latin America,2026-06-01,86391,34.41,20860.05
MRK-1001,Latin America,2026-07-01,84169,34.41,20860.05
MRK-1001,Latin America,2026-08-01,63286,34.41,20860.05
MRK-1001,North America,2026-06-01,72164,101.74,30344.05
MRK-1001,North America,2026-07-01,38015,101.74,30344.05
MRK-1001,North America,2026-08-01,57018,101.74,30344.05
MRK-1002,APAC,2026-06-01,50600,115.95,46339.02
MRK-1002,APAC,2026-07-01,78945,115.95,46339.02
MRK-1002,APAC,2026-08-01,57586,115.95,46339.02
MRK-1002,EMEA,2026-06-01,64847,58.39,26144.77
MRK-1002,EMEA,2026-07-01,38831,58.39,26144.77
MRK-1002,EMEA,2026-08-01,51473,58.39,26144.77
MRK-1002,Latin America,2026-06-01,37394,157.74,33196.51
MRK-1002,Latin America,2026-07-01,44353,157.74,33196.51
MRK-1002,Latin America,2026-08-01,41344,157.74,33196.51
MRK-1002,North America,2026-06-01,26771,212.52,36107.47
MRK-1002,North America,2026-07-01,0,212.52,36107.47
MRK-1002,North America,2026-08-01,46601,212.52,36107.47
MRK-1003,APAC,2026-06-01,22909,140.76,22886.02
MRK-1003,APAC,2026-07-01,45243,140.76,22886.02
MRK-1003,APAC,2026-08-01,21045,140.76,22886.02
MRK-1003,EMEA,2026-06-01,0,284.31,50863.42
MRK-1003,EMEA,2026-07-01,0,284.31,50863.42
MRK-1003,EMEA,2026-08-01,0,284.31,50863.42
MRK-1003,Latin America,2026-06-01,55967,65.45,40411.2
MRK-1003,Latin America,2026-07-01,38561,65.45,40411.2
MRK-1003,Latin America,2026-08-01,30940,65.45,40411.2
MRK-1003,North America,2026-06-01,21670,62.24,22628.3
MRK-1003,North America,2026-07-01,0,62.24,22628.3
MRK-1003,North America,2026-08-01,64566,62.24,22628.3
MRK-1004,APAC,2026-06-01,18919,20.17,12689.32
MRK-1004,APAC,2026-07-01,61563,20.17,12689.32
MRK-1004,APAC,2026-08-01,26266,20.17,12689.32
MRK-1004,EMEA,2026-06-01,43101,53.57,31698.59
MRK-1004,EMEA,2026-07-01,22519,53.57,31698.59
MRK-1004,EMEA,2026-08-01,38104,53.57,31698.59
MRK-1004,Latin America,2026-06-01,41853,30.38,20681.88
MRK-1004,Latin America,2026-07-01,31607,30.38,20681.88
MRK-1004,Latin America,2026-08-01,61466,30.38,20681.88
MRK-1004,North America,2026-06-01,44746,47.87,32867.43
MRK-1004,North America,2026-07-01,56520,47.87,32867.43
MRK-1004,North America,2026-08-01,41133,47.87,32867.43
MRK-1005,APAC,2026-06-01,17255,37.38,18103.06
MRK-1005,APAC,2026-07-01,34481,37.38,18103.06
MRK-1005,APAC,2026-08-01,63061,37.38,18103.06
MRK-1005,EMEA,2026-06-01,16726,55.09,26647.52
MRK-1005,EMEA,2026-07-01,48523,55.09,26647.52
MRK-1005,EMEA,2026-08-01,55101,55.09,26647.52
MRK-1005,Latin America,2026-06-01,63519,31.02,15669.13
MRK-1005,Latin America,2026-07-01,23225,31.02,15669.13
MRK-1005,Latin America,2026-08-01,36709,31.02,15669.13
MRK-1005,North America,2026-06-01,60977,96.42,42155.85
MRK-1005,North America,2026-07-01,27156,96.42,42155.85
MRK-1005,North America,2026-08-01,58755,96.42,42155.85
MRK-1006,APAC,2026-06-01,48787,45.76,18195.87
MRK-1006,APAC,2026-07-01,44134,45.76,18195.87
MRK-1006,APAC,2026-08-01,1250,45.76,18195.87
MRK-1006,EMEA,2026-06-01,40513,88.33,30170.22
MRK-1006,EMEA,2026-07-01,16951,88.33,30170.22
MRK-1006,EMEA,2026-08-01,50988,88.33,30170.22
MRK-1006,Latin America,2026-06-01,59692,25.04,12790.58
MRK-1006,Latin America,2026-07-01,28940,25.04,12790.58
MRK-1006,Latin America,2026-08-01,63067,25.04,12790.58
MRK-1006,North America,2026-06-01,72981,35.0,17159.26
MRK-1006,North America,2026-07-01,21434,35.0,17159.26
MRK-1006,North America,2026-08-01,45121,35.0,17159.26
MRK-1007,APAC,2026-06-01,32132,64.61,23911.19
MRK-1007,APAC,2026-07-01,47919,64.61,23911.19
MRK-1007,APAC,2026-08-01,42854,64.61,23911.19
MRK-1007,EMEA,2026-06-01,38895,38.97,25616.2
MRK-1007,EMEA,2026-07-01,51507,38.97,25616.2
MRK-1007,EMEA,2026-08-01,53311,38.97,25616.2
MRK-1007,Latin America,2026-06-01,48828,32.48,15100.54
MRK-1007,Latin America,2026-07-01,46679,32.48,15100.54
MRK-1007,Latin America,2026-08-01,32720,32.48,15100.54
MRK-1007,North America,2026-06-01,12334,36.11,16877.67
MRK-1007,North America,2026-07-01,28264,36.11,16877.67
MRK-1007,North America,2026-08-01,36913,36.11,16877.67
MRK-1008,APAC,2026-06-01,5095,37.27,24702.29
MRK-1008,APAC,2026-07-01,28291,37.27,24702.29
MRK-1008,APAC,2026-08-01,19240,37.27,24702.29
MRK-1008,EMEA,2026-06-01,25225,136.64,26161.03
MRK-1008,EMEA,2026-07-01,41317,136.64,26161.03
MRK-1008,EMEA,2026-08-01,10033,136.64,26161.03
MRK-1008,Latin America,2026-06-01,45652,61.32,29470.27
MRK-1008,Latin America,2026-07-01,53173,61.32,29470.27
MRK-1008,Latin America,2026-08-01,46906,61.32,29470.27
MRK-1008,North America,2026-06-01,12836,19.95,12847.85
MRK-1008,North America,2026-07-01,24911,19.95,12847.85
MRK-1008,North America,2026-08-01,33265,19.95,12847.85
