sales_month,drug_code,drug_name,region,units_sold,revenue_usd
2024-01-01,MRK-1001,Cardiozin,North America,50212,1683096.21
2024-01-01,MRK-1001,Cardiozin,EMEA,44124,8119615.82
2024-01-01,MRK-1001,Cardiozin,APAC,19792,1163503.66
2024-01-01,MRK-1001,Cardiozin,Latin America,52491,4702245.57
2024-01-01,MRK-1002,Oncavera,North America,32292,3430264.02
2024-01-01,MRK-1002,Oncavera,EMEA,24398,2385027.58
2024-01-01,MRK-1002,Oncavera,APAC,30963,6647281.64
2024-01-01,MRK-1002,Oncavera,Latin America,39835,8143549.07
2024-01-01,MRK-1003,Immunext,North America,33520,757794.22
2024-01-01,MRK-1003,Immunext,EMEA,39144,6469607.63
2024-01-01,MRK-1003,Immunext,APAC,16802,242934.99
2024-01-01,MRK-1003,Immunext,Latin America,26630,4003707.17
2024-01-01,MRK-1004,Glucostat,North America,19079,2951600.16
2024-01-01,MRK-1004,Glucostat,EMEA,26024,4119404.92
2024-01-01,MRK-1004,Glucostat,APAC,10505,305033.11
2024-01-01,MRK-1004,Glucostat,Latin America,22113,3117527.06
2024-01-01,MRK-1005,Neuroplex,North America,35575,7119595.11
2024-01-01,MRK-1005,Neuroplex,EMEA,42423,2882995.98
2024-01-01,MRK-1005,Neuroplex,APAC,52774,7811722.71
2024-01-01,MRK-1005,Neuroplex,Latin America,33100,4803497.51
2024-01-01,MRK-1006,Vaxishield,North America,39612,3122556.54
2024-01-01,MRK-1006,Vaxishield,EMEA,41713,6991872.47
2024-01-01,MRK-1006,Vaxishield,APAC,53552,2502787.25
2024-01-01,MRK-1006,Vaxishield,Latin America,46074,7052357.13
2024-01-01,MRK-1007,Pulmocare,North America,58589,3846153.73
2024-01-01,MRK-1007,Pulmocare,EMEA,12200,860177.78
2024-01-01,MRK-1007,Pulmocare,APAC,14963,1266440.78
2024-01-01,MRK-1007,Pulmocare,Latin America,39309,2856896.0
2024-01-01,MRK-1008,Dermalyx,North America,67453,10349067.99
2024-01-01,MRK-1008,Dermalyx,EMEA,19484,1199784.5
2024-01-01,MRK-1008,Dermalyx,APAC,54465,9346677.4
2024-01-01,MRK-1008,Dermalyx,Latin America,66336,6642869.11
2024-01-01,MRK-1001,Cardiozin,North America,62247,8171360.94
2024-01-01,MRK-1001,Cardiozin,EMEA,53081,5575418.24
2024-01-01,MRK-1001,Cardiozin,APAC,58595,8942792.46
2024-01-01,MRK-1001,Cardiozin,Latin America,8187,1524389.88
2024-01-01,MRK-1002,Oncavera,North America,39213,6724987.49
2024-01-01,MRK-1002,Oncavera,EMEA,42456,3169134.71
2024-01-01,MRK-1002,Oncavera,APAC,34054,4098763.89
2024-01-01,MRK-1002,Oncavera,Latin America,35573,4246417.33
2024-01-01,MRK-1003,Immunext,North America,23123,3106621.27
2024-01-01,MRK-1003,Immunext,EMEA,10401,582240.58
2024-01-01,MRK-1003,Immunext,APAC,33744,3937576.48
2024-01-01,MRK-1003,Immunext,Latin America,51736,1106509.62
2024-01-01,MRK-1004,Glucostat,North America,24205,1627324.58
2024-01-01,MRK-1004,Glucostat,EMEA,42510,5616941.22
2024-01-01,MRK-1004,Glucostat,APAC,20034,1317333.82
2024-01-01,MRK-1004,Glucostat,Latin America,31788,1342543.4
2024-01-01,MRK-1005,Neuroplex,North America,46958,1630865.72
2024-01-01,MRK-1005,Neuroplex,EMEA,15962,2487305.54
2024-01-01,MRK-1005,Neuroplex,APAC,47833,5728492.59
2024-01-01,MRK-1005,Neuroplex,Latin America,14093,2989537.54
2024-01-01,MRK-1006,Vaxishield,North America,49566,4969115.64
2024-01-01,MRK-1006,Vaxishield,EMEA,45461,6865015.76
2024-01-01,MRK-1006,Vaxishield,APAC,51432,2996092.99
2024-01-01,MRK-1006,Vaxishield,Latin America,21999,1897389.5
2024-01-01,MRK-1007,Pulmocare,North America,16445,1907893.98
2024-01-01,MRK-1007,Pulmocare,EMEA,47791,5086091.94
2024-01-01,MRK-1007,Pulmocare,APAC,54820,3793524.25
