shipment_id,drug_code,drug_name,origin_facility,destination_country,region,ship_date,quantity_units,batch_id,cold_chain_required,delivery_status
SHP300000,MRK-1005,Neuroplex,NJ-Plant-01,India,APAC,2025-09-07,39513,BATCH-61563,False,Customs Hold
SHP300001,MRK-1005,Neuroplex,Ireland-Plant-02,South Korea,APAC,2025-07-26,26771,BATCH-31605,False,Delayed
SHP300002,MRK-1001,Cardiozin,NJ-Plant-01,Brazil,Latin America,2026-03-17,8760,BATCH-52415,False,Delayed
SHP300003,MRK-1007,Pulmocare,NJ-Plant-01,Brazil,Latin America,2024-11-18,28383,BATCH-34148,False,In Transit
SHP300004,MRK-1002,Oncavera,Singapore-Plant-03,Canada,North America,2024-08-29,14620,BATCH-94871,False,Delayed
SHP300005,MRK-1008,Dermalyx,Ireland-Plant-02,Canada,North America,2025-05-25,20639,BATCH-60960,False,Delayed
SHP300006,MRK-1005,Neuroplex,Singapore-Plant-03,Australia,APAC,2025-09-03,15103,BATCH-67288,False,Delayed
SHP300007,MRK-1003,Immunext,Ireland-Plant-02,USA,North America,2025-07-01,15260,BATCH-10800,True,Customs Hold
SHP300008,MRK-1002,Oncavera,Ireland-Plant-02,France,EMEA,2024-12-07,48253,BATCH-38594,False,Delivered
SHP300009,MRK-1003,Immunext,Ireland-Plant-02,USA,North America,2026-01-28,16827,BATCH-26741,True,In Transit
SHP300010,MRK-1002,Oncavera,NJ-Plant-01,Mexico,North America,2026-03-08,31452,BATCH-93898,False,In Transit
SHP300011,MRK-1008,Dermalyx,Singapore-Plant-03,Brazil,Latin America,2025-03-11,18240,BATCH-94218,False,In Transit
SHP300012,MRK-1006,Vaxishield,NJ-Plant-01,Australia,APAC,2025-07-21,21781,BATCH-33716,True,Delayed
SHP300013,MRK-1003,Immunext,NJ-Plant-01,India,APAC,2025-12-30,20988,BATCH-63225,True,Delivered
SHP300014,MRK-1006,Vaxishield,Ireland-Plant-02,Argentina,Latin America,2025-09-21,6007,BATCH-18724,True,Delivered
SHP300015,MRK-1006,Vaxishield,NJ-Plant-01,Mexico,North America,2026-05-22,42228,BATCH-57614,True,Delayed
SHP300016,MRK-1002,Oncavera,Ireland-Plant-02,South Korea,APAC,2025-04-10,20636,BATCH-71815,False,In Transit
SHP300017,MRK-1006,Vaxishield,Ireland-Plant-02,France,EMEA,2026-03-01,9750,BATCH-67456,True,Delayed
SHP300018,MRK-1002,Oncavera,Ireland-Plant-02,Brazil,Latin America,2024-12-30,38548,BATCH-84852,False,Customs Hold
SHP300019,MRK-1004,Glucostat,NJ-Plant-01,Australia,APAC,2026-05-17,40020,BATCH-14803,False,Delayed
SHP300020,MRK-1004,Glucostat,NJ-Plant-01,Chile,Latin America,2025-07-01,2484,BATCH-35589,False,Delivered
SHP300021,MRK-1004,Glucostat,Singapore-Plant-03,Brazil,Latin America,2026-06-13,4998,BATCH-36350,False,In Transit
SHP300022,MRK-1003,Immunext,Singapore-Plant-03,Brazil,Latin America,2025-06-09,31592,BATCH-80116,True,In Transit
SHP300023,MRK-1002,Oncavera,Ireland-Plant-02,India,APAC,2025-05-06,36106,BATCH-35729,False,Delivered
SHP300024,MRK-1005,Neuroplex,NJ-Plant-01,Brazil,Latin America,2024-11-19,45344,BATCH-51085,False,In Transit
SHP300025,MRK-1002,Oncavera,Ireland-Plant-02,Chile,Latin America,2024-11-09,27277,BATCH-96624,False,In Transit
SHP300026,MRK-1006,Vaxishield,NJ-Plant-01,South Africa,EMEA,2026-04-11,34045,BATCH-23307,True,Delivered
SHP300027,MRK-1006,Vaxishield,Ireland-Plant-02,Chile,Latin America,2025-05-04,12820,BATCH-46597,True,Customs Hold
SHP300028,MRK-1008,Dermalyx,Singapore-Plant-03,Mexico,North America,2025-05-05,29512,BATCH-59663,False,In Transit
SHP300029,MRK-1007,Pulmocare,Ireland-Plant-02,Canada,North America,2024-08-17,14256,BATCH-27898,False,Delayed
SHP300030,MRK-1007,Pulmocare,NJ-Plant-01,Argentina,Latin America,2026-07-16,22877,BATCH-89900,False,Delivered
